time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,cloud_cover,wind_speed_10m,wind_gusts_10m,year,month,day,hour,day_of_year,season,rain_flag
2025-01-01 00:00:00,8.3,100,7.4,0.0,99,2.8,4.7,2025,1,1,0,1,Winter,0
2025-01-01 01:00:00,8.0,100,7.0,0.0,100,2.9,5.4,2025,1,1,1,1,Winter,0
2025-01-01 02:00:00,7.8,100,6.5,0.0,100,4.7,10.1,2025,1,1,2,1,Winter,0
2025-01-01 03:00:00,8.0,99,6.5,0.0,100,5.8,12.6,2025,1,1,3,1,Winter,0
2025-01-01 04:00:00,7.7,98,6.1,0.0,100,6.3,13.0,2025,1,1,4,1,Winter,0
2025-01-01 05:00:00,7.8,97,6.0,0.0,100,7.6,16.2,2025,1,1,5,1,Winter,0
2025-01-01 06:00:00,8.4,96,7.2,0.0,100,4.3,13.0,2025,1,1,6,1,Winter,0
2025-01-01 07:00:00,8.5,95,7.2,0.0,100,4.7,12.2,2025,1,1,7,1,Winter,0
2025-01-01 08:00:00,8.9,93,7.4,0.0,100,6.3,15.8,2025,1,1,8,1,Winter,0
2025-01-01 09:00:00,9.5,97,7.9,0.0,100,8.7,21.6,2025,1,1,9,1,Winter,0
2025-01-01 10:00:00,11.3,89,9.8,0.0,100,9.4,23.4,2025,1,1,10,1,Winter,0
2025-01-01 11:00:00,13.2,82,11.9,0.0,55,8.8,24.1,2025,1,1,11,1,Winter,0
2025-01-01 12:00:00,14.6,78,13.8,0.0,4,6.9,23.4,2025,1,1,12,1,Winter,0
2025-01-01 13:00:00,15.8,73,15.2,0.0,0,6.5,20.9,2025,1,1,13,1,Winter,0
2025-01-01 14:00:00,16.6,71,16.0,0.0,0,6.7,20.2,2025,1,1,14,1,Winter,0
2025-01-01 15:00:00,16.8,70,16.1,0.0,0,7.5,19.4,2025,1,1,15,1,Winter,0
2025-01-01 16:00:00,16.3,73,15.7,0.0,1,7.0,19.4,2025,1,1,16,1,Winter,0
2025-01-01 17:00:00,14.7,80,14.2,0.0,9,5.7,15.5,2025,1,1,17,1,Winter,0
2025-01-01 18:00:00,12.2,86,11.7,0.0,18,3.2,5.4,2025,1,1,18,1,Winter,0
2025-01-01 19:00:00,11.6,88,10.8,0.0,19,4.6,7.6,2025,1,1,19,1,Winter,0
2025-01-01 20:00:00,11.1,90,10.3,0.0,6,4.7,8.3,2025,1,1,20,1,Winter,0
2025-01-01 21:00:00,10.7,91,9.8,0.0,5,5.0,9.0,2025,1,1,21,1,Winter,0
2025-01-01 22:00:00,10.3,93,9.3,0.0,8,5.1,9.7,2025,1,1,22,1,Winter,0
2025-01-01 23:00:00,9.8,94,8.8,0.0,16,5.2,9.7,2025,1,1,23,1,Winter,0
2025-01-02 00:00:00,9.5,95,8.4,0.0,40,5.2,10.1,2025,1,2,0,2,Winter,0
2025-01-02 01:00:00,9.1,96,7.9,0.0,14,5.1,9.7,2025,1,2,1,2,Winter,0
2025-01-02 02:00:00,8.9,96,7.4,0.0,47,6.8,11.9,2025,1,2,2,2,Winter,0
2025-01-02 03:00:00,8.5,97,6.8,0.0,99,7.8,15.8,2025,1,2,3,2,Winter,0
2025-01-02 04:00:00,8.5,97,6.7,0.0,100,8.8,17.3,2025,1,2,4,2,Winter,0
2025-01-02 05:00:00,8.8,97,6.8,0.0,100,10.1,19.8,2025,1,2,5,2,Winter,0
2025-01-02 06:00:00,8.7,97,7.0,0.0,99,8.5,18.4,2025,1,2,6,2,Winter,0
2025-01-02 07:00:00,8.7,96,7.0,0.0,99,8.3,16.9,2025,1,2,7,2,Winter,0
2025-01-02 08:00:00,9.9,93,8.2,0.0,85,9.5,19.8,2025,1,2,8,2,Winter,0
2025-01-02 09:00:00,11.7,90,10.6,0.0,74,7.4,19.4,2025,1,2,9,2,Winter,0
2025-01-02 10:00:00,13.6,82,12.7,0.0,37,6.8,19.4,2025,1,2,10,2,Winter,0
2025-01-02 11:00:00,15.2,76,14.5,0.0,92,6.5,19.8,2025,1,2,11,2,Winter,0
2025-01-02 12:00:00,16.5,71,15.9,0.0,85,7.3,21.2,2025,1,2,12,2,Winter,0
2025-01-02 13:00:00,17.6,66,16.9,0.0,82,7.9,22.3,2025,1,2,13,2,Winter,0
2025-01-02 14:00:00,18.2,65,17.3,0.0,99,8.4,22.3,2025,1,2,14,2,Winter,0
2025-01-02 15:00:00,18.2,65,17.4,0.0,98,8.6,22.0,2025,1,2,15,2,Winter,0
2025-01-02 16:00:00,17.6,69,17.3,0.0,100,6.3,20.5,2025,1,2,16,2,Winter,0
2025-01-02 17:00:00,15.7,78,15.5,0.0,100,5.2,13.7,2025,1,2,17,2,Winter,0
2025-01-02 18:00:00,13.6,81,13.0,0.0,100,4.8,7.2,2025,1,2,18,2,Winter,0
2025-01-02 19:00:00,13.1,83,12.5,0.0,100,4.5,7.6,2025,1,2,19,2,Winter,0
2025-01-02 20:00:00,12.6,84,12.0,0.0,100,3.7,7.6,2025,1,2,20,2,Winter,0
2025-01-02 21:00:00,11.8,87,11.2,0.0,100,4.0,6.5,2025,1,2,21,2,Winter,0
2025-01-02 22:00:00,11.0,90,10.2,0.0,100,4.2,7.6,2025,1,2,22,2,Winter,0
2025-01-02 23:00:00,10.2,92,9.3,0.0,99,4.2,7.6,2025,1,2,23,2,Winter,0
2025-01-03 00:00:00,9.7,93,8.6,0.0,100,4.7,8.6,2025,1,3,0,3,Winter,0
2025-01-03 01:00:00,9.4,93,8.2,0.0,100,4.7,8.3,2025,1,3,1,3,Winter,0
2025-01-03 02:00:00,9.0,94,7.8,0.0,100,5.1,7.9,2025,1,3,2,3,Winter,0
2025-01-03 03:00:00,9.2,94,7.9,0.0,100,5.2,9.4,2025,1,3,3,3,Winter,0
2025-01-03 04:00:00,8.9,96,7.6,0.0,99,5.9,11.2,2025,1,3,4,3,Winter,0
2025-01-03 05:00:00,8.6,98,7.2,0.0,99,6.1,10.8,2025,1,3,5,3,Winter,0
2025-01-03 06:00:00,9.3,99,8.3,0.0,100,5.2,11.9,2025,1,3,6,3,Winter,0
2025-01-03 07:00:00,9.2,96,8.0,0.0,100,5.2,11.5,2025,1,3,7,3,Winter,0
2025-01-03 08:00:00,9.8,96,8.8,0.0,100,5.6,12.6,2025,1,3,8,3,Winter,0
2025-01-03 09:00:00,11.0,95,10.5,0.0,100,3.7,13.0,2025,1,3,9,3,Winter,0
2025-01-03 10:00:00,12.8,92,12.9,0.0,100,3.0,12.6,2025,1,3,10,3,Winter,0
2025-01-03 11:00:00,15.2,82,15.4,0.0,100,3.2,13.7,2025,1,3,11,3,Winter,0
2025-01-03 12:00:00,17.3,72,17.3,0.0,100,3.9,15.1,2025,1,3,12,3,Winter,0
2025-01-03 13:00:00,18.7,64,18.6,0.0,99,4.1,15.1,2025,1,3,13,3,Winter,0
2025-01-03 14:00:00,19.4,62,19.4,0.0,100,4.0,14.8,2025,1,3,14,3,Winter,0
2025-01-03 15:00:00,19.6,61,19.6,0.0,100,4.0,13.7,2025,1,3,15,3,Winter,0
2025-01-03 16:00:00,19.0,70,19.7,0.0,100,2.7,10.8,2025,1,3,16,3,Winter,0
2025-01-03 17:00:00,16.7,78,16.9,0.0,96,4.4,6.1,2025,1,3,17,3,Winter,0
