time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2025-01-01 00:00:00,185.8,188.6,1645.0,56.7,49.7,31.0
2025-01-01 01:00:00,174.6,177.4,1551.0,44.8,39.7,39.0
2025-01-01 02:00:00,164.4,166.7,1478.0,34.6,31.5,46.0
2025-01-01 03:00:00,156.5,158.8,1418.0,26.7,26.0,52.0
2025-01-01 04:00:00,149.5,151.8,1379.0,20.6,22.3,57.0
2025-01-01 05:00:00,156.5,158.3,1377.0,33.3,29.0,44.0
2025-01-01 06:00:00,144.4,146.2,1458.0,31.4,27.8,48.0
2025-01-01 07:00:00,138.3,140.6,1577.0,28.7,26.1,54.0
2025-01-01 08:00:00,136.4,138.8,1615.0,26.0,25.1,64.0
2025-01-01 09:00:00,141.1,143.0,1494.0,23.3,25.2,80.0
2025-01-01 10:00:00,129.9,132.2,1294.0,20.5,25.9,99.0
2025-01-01 11:00:00,122.5,125.3,1131.0,18.2,26.6,118.0
2025-01-01 12:00:00,115.5,118.3,1034.0,15.4,27.1,138.0
2025-01-01 13:00:00,108.7,111.8,974.0,13.1,27.6,157.0
2025-01-01 14:00:00,103.6,106.6,992.0,14.1,28.0,164.0
2025-01-01 15:00:00,99.4,102.7,1143.0,21.0,28.2,149.0
2025-01-01 16:00:00,100.4,102.9,1370.0,31.3,28.3,121.0
2025-01-01 17:00:00,148.5,151.8,1543.0,52.6,36.4,90.0
2025-01-01 18:00:00,157.4,160.7,1605.0,55.0,36.8,77.0
2025-01-01 19:00:00,162.1,165.3,1613.0,58.0,37.4,59.0
2025-01-01 20:00:00,167.6,170.4,1603.0,58.6,37.5,46.0
2025-01-01 21:00:00,171.8,174.6,1587.0,55.1,37.2,41.0
2025-01-01 22:00:00,175.1,178.3,1553.0,49.2,36.4,41.0
2025-01-01 23:00:00,174.2,177.0,1504.0,42.6,35.0,42.0
2025-01-02 00:00:00,167.6,170.4,1427.0,35.3,32.1,45.0
2025-01-02 01:00:00,163.0,165.8,1335.0,27.3,28.6,50.0
